date,developer,commits,total_commits,bugs,total_bugs,joindate,partdate
2003-07,tigger,15,15,7,45,,
2003-08,tigger,20,35,4,49,,
2003-09,tigger,30,65,16,65,,
2003-10,tigger,11,76,1,66,,
2003-11,tigger,16,92,1,67,,
2003-12,tigger,13,105,2,69,,
2004-01,tigger,10,115,5,74,,
2004-02,tigger,32,147,5,79,,
2004-04,tigger,9,156,0,79,,
2004-07,tigger,79,235,18,99,,
2004-08,tigger,27,262,1,100,,
2004-09,tigger,50,312,2,102,,
2004-10,tigger,6,318,2,104,,
2004-11,tigger,27,345,2,106,,
2004-12,tigger,4,349,5,111,,
2005-01,tigger,6,355,4,115,,
2005-02,tigger,18,373,0,115,,
2005-03,tigger,37,410,7,122,,
2005-04,tigger,10,420,0,122,,
2005-05,tigger,1,421,0,122,,
2005-06,tigger,13,434,1,123,,
2005-07,tigger,26,460,1,124,,
2005-08,tigger,41,501,5,129,,
2005-09,tigger,9,510,1,130,,
2006-03,tigger,2,512,0,133,,
2003-05,tigger,0,0,9,9,2003/05/30,
2003-06,tigger,0,0,29,38,,
2004-05,tigger,0,156,1,80,,
2004-06,tigger,0,156,1,81,,
2005-10,tigger,0,510,1,131,,
2005-12,tigger,0,510,1,132,,
2006-02,tigger,0,510,1,133,,
2006-04,tigger,0,512,1,134,,
2006-05,tigger,0,512,0,134,,2006/05/30
2005-08,deathwing00,2,2,0,33,,
2005-09,deathwing00,2,4,1,34,,
2006-03,deathwing00,1,5,0,34,,
2006-04,deathwing00,97,102,13,47,,
2006-06,deathwing00,7,109,2,49,,
2006-07,deathwing00,13,122,9,58,,
2006-08,deathwing00,73,195,16,74,,
2006-09,deathwing00,447,642,34,108,,
2006-10,deathwing00,150,792,30,138,,
2006-11,deathwing00,51,843,15,153,,
2006-12,deathwing00,54,897,4,157,,
2007-01,deathwing00,33,930,10,167,,
2007-02,deathwing00,15,945,3,170,,
2007-03,deathwing00,92,1037,6,176,,
2007-04,deathwing00,4,1041,1,177,,
2007-06,deathwing00,15,1056,3,181,,
2007-10,deathwing00,8,1064,1,183,,
2008-01,deathwing00,5,1069,0,184,,
2008-03,deathwing00,20,1089,4,189,,
2008-04,deathwing00,6,1095,3,192,,
2008-05,deathwing00,17,1112,7,199,,
2008-07,deathwing00,11,1123,3,202,,
2008-09,deathwing00,3,1126,1,203,,
2008-10,deathwing00,5,1131,2,205,,
2009-01,deathwing00,3,1134,1,210,,
2009-02,deathwing00,13,1147,3,213,,
2009-03,deathwing00,36,1183,1,214,,
2009-04,deathwing00,11,1194,2,216,,
2009-05,deathwing00,4,1198,3,219,,
2009-06,deathwing00,12,1210,2,221,,
2009-07,deathwing00,3,1213,0,221,,
2009-09,deathwing00,4,1217,0,222,,
2009-10,deathwing00,6,1223,4,226,,
2009-11,deathwing00,1,1224,0,226,,
2009-12,deathwing00,3,1227,0,226,,
2010-02,deathwing00,3,1230,0,226,,
2010-03,deathwing00,16,1246,0,226,,
2010-04,deathwing00,8,1254,3,229,,
2003-10,deathwing00,0,0,5,5,,
2003-11,deathwing00,0,0,1,6,,
2004-01,deathwing00,0,0,3,9,,
2004-03,deathwing00,0,0,1,10,,
2004-06,deathwing00,0,0,1,11,,
2004-07,deathwing00,0,0,1,12,,
2004-08,deathwing00,0,0,5,17,,
2005-01,deathwing00,0,0,1,18,,
2005-02,deathwing00,0,0,5,23,,
2005-03,deathwing00,0,0,2,25,,
2005-04,deathwing00,0,0,5,30,,
2005-06,deathwing00,0,0,1,31,,
2005-07,deathwing00,0,0,2,33,2005/07/18,
2007-05,deathwing00,0,1041,1,178,,
2007-07,deathwing00,0,1056,1,182,,
2007-11,deathwing00,0,1064,1,184,,
2008-02,deathwing00,0,1069,1,185,,
2008-11,deathwing00,0,1131,4,209,,
2009-08,deathwing00,0,1213,1,222,,
2010-08,deathwing00,0,1254,1,230,,
2004-01,eradicator,96,96,29,33,2004/01/23,
2004-02,eradicator,856,952,169,202,,
2004-03,eradicator,2267,3219,154,356,,
2004-04,eradicator,2187,5406,125,481,,
2004-05,eradicator,590,5996,69,550,,
2004-06,eradicator,931,6927,99,649,,
2004-07,eradicator,5052,11979,88,737,,
2004-08,eradicator,183,12162,26,763,,
2004-09,eradicator,1739,13901,99,862,,
2004-10,eradicator,1408,15309,92,954,,
2004-11,eradicator,1301,16610,71,1025,,
2004-12,eradicator,1103,17713,55,1080,,
2005-01,eradicator,8265,25978,71,1151,,
2005-02,eradicator,937,26915,73,1224,,
2005-03,eradicator,771,27686,56,1280,,
2005-04,eradicator,843,28529,76,1356,,
2005-05,eradicator,237,28766,37,1393,,
2005-06,eradicator,118,28884,11,1404,,
2005-07,eradicator,727,29611,66,1470,,
2005-08,eradicator,541,30152,12,1482,,
2005-09,eradicator,403,30555,3,1485,,
2005-10,eradicator,518,31073,37,1522,,
2005-11,eradicator,78,31151,3,1525,,
2005-12,eradicator,6,31157,2,1527,,
2006-01,eradicator,96,31253,6,1533,,
2006-02,eradicator,18,31271,1,1534,,
2006-03,eradicator,216,31487,38,1572,,
2006-04,eradicator,215,31702,3,1575,,
2006-05,eradicator,73,31775,5,1580,,
2006-06,eradicator,257,32032,15,1595,,
2006-08,eradicator,10,32042,4,1599,,
2006-09,eradicator,7,32049,0,1599,,
2006-10,eradicator,38,32087,3,1602,,
2007-02,eradicator,7,32094,1,1603,,
2007-03,eradicator,55,32149,6,1609,,
2007-04,eradicator,17,32166,0,1609,,
2007-05,eradicator,70,32236,1,1610,,
2007-06,eradicator,36,32272,2,1612,,
2007-07,eradicator,70,32342,1,1613,,
2007-08,eradicator,3,32345,2,1615,,
2007-10,eradicator,14,32359,2,1618,,
2007-11,eradicator,3,32362,0,1618,,
2007-12,eradicator,36,32398,4,1622,,
2008-01,eradicator,18,32416,2,1624,,
2003-10,eradicator,0,0,1,1,,
2003-11,eradicator,0,0,1,2,,
2003-12,eradicator,0,0,2,4,,
2007-09,eradicator,0,32345,1,1616,,
2008-03,eradicator,0,32416,1,1625,,
2008-04,eradicator,0,32416,1,1626,,
2008-11,eradicator,0,32416,1,1627,,
2011-02,eradicator,0,32416,1,1628,,
2008-10,eradicator,0,32416,0,1626,,2008/10/30
2004-02,jhuebel,64,64,18,18,2004/02/26,
2004-03,jhuebel,436,500,105,123,,
2004-04,jhuebel,246,746,26,149,,
2004-05,jhuebel,216,962,65,214,,
2004-06,jhuebel,298,1260,11,225,,
2004-07,jhuebel,23,1283,3,228,,
2004-08,jhuebel,64,1347,21,249,,
2004-09,jhuebel,23,1370,0,249,,
2004-10,jhuebel,54,1424,0,249,,
2004-11,jhuebel,62,1486,14,263,,
2004-12,jhuebel,188,1674,11,274,,
2005-01,jhuebel,35,1709,2,276,,
2005-02,jhuebel,1,1710,0,276,,
2005-03,jhuebel,1,1711,0,276,,
2005-05,jhuebel,1,1712,0,276,,
2005-12,jhuebel,9,1721,3,280,,
2006-04,jhuebel,6,1727,0,281,,
2006-05,jhuebel,31,1758,1,282,,
2006-06,jhuebel,9,1767,2,284,,
2006-07,jhuebel,6,1773,0,284,,
2006-08,jhuebel,11,1784,1,285,,
2006-09,jhuebel,33,1817,5,290,,
2006-10,jhuebel,28,1845,0,290,,2006/10/10
2005-06,jhuebel,0,1712,1,277,,
2006-01,jhuebel,0,1721,1,281,,
2007-08,jhuebel,0,1845,1,291,,
2007-09,jhuebel,0,1845,1,292,,
2008-01,jhuebel,0,1845,2,294,,
2008-03,jhuebel,0,1845,1,295,,
2008-06,jhuebel,0,1845,1,296,,
2008-08,jhuebel,0,1845,1,297,,
2008-11,jhuebel,0,1845,1,298,,
2010-07,jhuebel,0,1845,2,300,,
2012-06,jhuebel,0,1845,1,301,,
2012-02,polvi,0,0,0,0,,2012/02/16
2004-06,polvi,0,0,0,0,2004/06/26,
2005-07,jkt,79,79,7,15,2005/07/20,
2005-08,jkt,35,114,1,16,,
2005-09,jkt,45,159,12,28,,
2005-10,jkt,50,209,10,38,,
2005-11,jkt,60,269,3,41,,
2005-12,jkt,78,347,16,57,,
2006-01,jkt,102,449,7,64,,
2006-02,jkt,19,468,6,70,,
2006-03,jkt,38,506,8,78,,
2006-04,jkt,23,529,2,80,,
2006-05,jkt,10,539,0,80,,
2006-06,jkt,19,558,2,82,,
2006-07,jkt,21,579,1,83,,
2006-08,jkt,10,589,0,83,,
2006-09,jkt,20,609,5,88,,
2006-10,jkt,4,613,3,91,,
2006-12,jkt,7,620,1,94,,
2007-01,jkt,1,621,1,95,,
2007-03,jkt,11,632,2,99,,
2007-04,jkt,7,639,3,102,,
2007-05,jkt,1,640,0,102,,
2007-06,jkt,16,656,9,111,,
2007-07,jkt,19,675,7,118,,
2007-08,jkt,7,682,1,119,,
2007-09,jkt,1,683,1,120,,
2007-10,jkt,3,686,1,121,,
2007-11,jkt,2,688,2,123,,
2008-01,jkt,11,699,2,132,,
2008-02,jkt,2,701,1,133,,
2008-03,jkt,10,711,1,134,,
2008-04,jkt,2,713,33,167,,
2008-06,jkt,2,715,2,205,,
2008-08,jkt,1,716,2,210,,
2008-09,jkt,3,719,3,213,,
2008-10,jkt,3,722,1,214,,
2008-11,jkt,1,723,9,223,,
2008-12,jkt,1,724,1,224,,
2009-02,jkt,1,725,2,228,,
2009-03,jkt,2,727,1,229,,
2010-02,jkt,4,731,0,233,,
2010-03,jkt,1,732,1,234,,
2010-06,jkt,1,733,1,235,,
2010-07,jkt,2,735,1,236,,
2010-09,jkt,3,738,1,237,,
2010-12,jkt,1,739,0,237,,
2011-02,jkt,2,741,2,239,,
2011-04,jkt,2,743,1,240,,
2011-08,jkt,11,754,2,244,,
2004-04,jkt,0,0,1,1,,
2004-10,jkt,0,0,1,2,,
2005-04,jkt,0,0,1,3,,
2005-05,jkt,0,0,2,5,,
2005-06,jkt,0,0,3,8,,
2006-11,jkt,0,613,2,93,,
2007-02,jkt,0,621,2,97,,
2007-12,jkt,0,688,7,130,,
2008-05,jkt,0,713,36,203,,
2008-07,jkt,0,715,3,208,,
2009-01,jkt,0,724,2,226,,
2009-05,jkt,0,727,1,230,,
2009-06,jkt,0,727,2,232,,
2009-10,jkt,0,727,1,233,,
2011-05,jkt,0,743,1,241,,
2011-07,jkt,0,743,1,242,,
2012-04,jkt,0,754,1,245,,
2012-10,jkt,0,754,1,246,,
2013-12,jkt,0,754,1,247,,
2004-05,dostrow,95,95,0,0,2004/05/13,
2004-06,dostrow,40,135,0,0,,
2004-07,dostrow,14,149,0,0,,
2004-11,dostrow,27,176,0,0,,
2005-01,dostrow,3,179,0,0,,
2005-03,dostrow,62,241,4,4,,
2005-04,dostrow,76,317,0,4,,
2005-05,dostrow,3,320,0,4,,
2005-06,dostrow,6,326,0,4,,
2005-07,dostrow,231,557,0,4,,
2005-08,dostrow,1,558,0,4,,
2005-10,dostrow,23,581,1,6,,
2005-11,dostrow,24,605,1,7,,
2005-12,dostrow,149,754,2,9,,
2006-01,dostrow,47,801,0,9,,
2006-02,dostrow,5,806,1,10,,
2006-03,dostrow,2,808,0,10,,
2006-04,dostrow,174,982,13,23,,
2006-07,dostrow,58,1040,4,27,,
2006-08,dostrow,23,1063,0,27,,
2006-09,dostrow,6,1069,1,28,,
2006-10,dostrow,1,1070,0,28,,
2007-01,dostrow,3,1073,0,28,,
2005-09,dostrow,0,558,1,5,,
2007-08,dostrow,0,1073,1,29,,
2010-11,dostrow,0,1073,0,29,,2010/11/01
2004-10,spb,45,45,1,2,2004/10/18,
2004-11,spb,184,229,0,2,,
2004-12,spb,30,259,2,4,,
2005-01,spb,207,466,3,7,,
2005-02,spb,15,481,2,9,,
2005-03,spb,168,649,5,14,,
2005-04,spb,70,719,1,15,,
2005-05,spb,179,898,4,19,,
2005-06,spb,15,913,1,20,,
2005-07,spb,19,932,3,23,,
2005-08,spb,18,950,1,24,,
2005-09,spb,7,957,0,24,,
2005-10,spb,22,979,0,24,,
2005-12,spb,3,982,3,27,,
2006-01,spb,30,1012,0,27,,
2006-02,spb,41,1053,2,29,,
2006-03,spb,19,1072,0,29,,
2006-05,spb,17,1089,0,29,,
2006-06,spb,5,1094,1,30,,
2006-07,spb,23,1117,0,30,,
2006-08,spb,13,1130,2,32,,
2006-09,spb,29,1159,2,34,,
2006-10,spb,21,1180,0,34,,
2006-11,spb,4,1184,2,36,,
2006-12,spb,11,1195,1,37,,
2007-01,spb,8,1203,3,40,,
2007-02,spb,10,1213,3,43,,
2007-03,spb,23,1236,7,50,,
2007-04,spb,4,1240,27,77,,
2007-06,spb,12,1252,2,79,,
2008-01,spb,10,1262,0,82,,
2008-02,spb,6,1268,1,83,,
2008-03,spb,1,1269,0,83,,
2008-04,spb,4,1273,1,84,,2008/04/30
2004-05,spb,0,0,1,1,,
2007-07,spb,0,1252,1,80,,
2007-10,spb,0,1252,2,82,,
2004-10,kaiowas,226,226,12,18,,
2004-11,kaiowas,392,618,5,23,,
2004-12,kaiowas,151,769,3,26,,
2005-01,kaiowas,160,929,3,29,,
2005-02,kaiowas,218,1147,3,32,,
2005-03,kaiowas,69,1216,2,34,,
2005-04,kaiowas,154,1370,1,35,,
2005-05,kaiowas,144,1514,2,37,,
2005-06,kaiowas,316,1830,0,37,,
2005-07,kaiowas,22,1852,3,40,,
2005-08,kaiowas,93,1945,3,43,,
2005-09,kaiowas,124,2069,0,43,,
2005-10,kaiowas,115,2184,0,43,,
2005-11,kaiowas,133,2317,4,47,,
2005-12,kaiowas,67,2384,3,50,,
2006-01,kaiowas,8,2392,1,51,,
2006-02,kaiowas,6,2398,1,52,,
2006-03,kaiowas,7,2405,0,52,,
2006-04,kaiowas,6,2411,1,53,,
